Catalyst,x,y,z,ddG (% ee)
13_4_5,-57.48330694,13.52179888,22.53950074,0
13_4_6,-57.84642681,13.38068529,22.03323949,0
13_5_1,-86.47287152,18.26375818,28.26122763,0
13_5_2,-81.49817948,23.51003962,36.78510163,0
13_5_3,-80.6397957,18.70824734,41.26209604,0
13_5_4,-89.12766863,5.227998962,-27.27812585,0
13_5_5,-87.82618025,5.776126601,-31.16850236,0
13_5_6,-90.01761606,6.419288217,-24.18338531,0
13_6_1,-73.54002604,-0.575527452,3.199199433,0
13_6_2,-73.52716395,-0.715329202,2.094761302,0
13_6_3,-73.59668286,-0.655289357,2.573334619,0
13_6_4,-73.55032714,-0.670208571,2.283258104,0
13_6_5,-73.56463682,-0.74604001,1.811931075,0
13_6_6,-73.62395118,-0.694995107,2.864048146,0
13_7_1,-70.20352554,1.137597879,8.651397461,0.186311091
13_7_2,-70.0760047,1.212809087,9.122056393,0
13_7_3,-70.09123774,1.302781876,9.748096544,0
13_7_4,-70.05094369,1.292671166,9.524070859,0.523140494
13_7_5,-70.10280766,1.204555234,9.18822532,0
13_7_6,-70.18246691,1.150201735,9.327970712,0
13_8_1,-67.91853333,0.67236863,16.03819503,0
13_8_2,-67.92951246,0.599243491,15.72071683,0
13_8_3,-67.74062127,0.841390744,16.91497097,0
13_8_4,-67.82464296,0.75345596,16.27654716,0
13_8_5,-67.78790959,0.754070589,16.43090966,0
13_8_6,-67.94229692,0.595492614,16.23840499,0
13_9_1,-107.7781364,-16.58127337,17.38739314,0
13_9_2,-80.29116034,8.343970648,73.61604227,0
13_9_3,-107.385508,-15.91213997,20.20077891,0
13_9_4,-108.905429,-18.86443292,1.269529739,0
13_9_5,-99.35799886,-7.0714487,46.66588239,0
13_9_6,-108.5513165,-16.13675436,13.12200803,0
14_1_1,-20.0060719,-4.369696437,-30.34207686,0
14_1_2,-19.85155673,-4.448857555,-30.29264657,0.966837724
14_1_4,-19.98526426,-4.457343372,-30.27866713,0
14_1_5,-19.85142592,-4.475292875,-30.29936235,0
14_1_6,-20.00950705,-4.706996608,-30.51032762,0
14_10_1,4.49737445,30.90410298,28.42024987,0
14_10_2,4.468700482,30.95732112,28.22577319,0
14_10_3,4.442068926,30.91924567,28.52133148,0
14_10_4,4.452228895,30.87159662,28.3891595,0
14_10_5,4.444676894,31.0364873,28.25434422,0
14_10_6,4.418344723,31.16083839,28.34370956,0
14_11_1,-6.221900522,21.07249727,-11.92084893,0
14_11_2,-6.082168399,20.94574753,-11.99191576,0
14_11_3,-6.087471958,21.21621351,-11.85890904,0
14_11_4,-6.239494494,20.97866672,-11.94513955,0
14_11_5,-6.037798139,21.025541,-12.0057138,0
14_11_6,-6.365389243,21.2089145,-12.11976489,0
14_2_1,-10.36862253,16.73911493,0.156693403,0.099737225
14_2_2,-10.40269497,16.5642372,-0.005199975,0
14_2_4,-10.3528339,16.66429988,0.122990569,0
14_2_5,-10.44822044,16.61276212,-0.014747637,0
14_2_6,-10.56287896,16.92240214,0.054822674,0
14_3_1,-2.187958124,22.55111259,-32.05032614,0.008291985
14_3_2,-1.966083295,22.60732521,-31.8683283,0.037918546
14_3_3,-2.153202203,22.66081619,-32.04391191,0
14_3_4,-1.901224443,22.76343421,-31.80004223,0.007107385
14_3_5,-1.930077237,22.67307963,-31.88430202,0
14_3_6,-1.84378352,22.87056916,-31.95810281,0
14_4_1,-11.64287763,15.42763213,0.961431405,0
14_4_2,-11.65160266,15.2507012,0.785751666,0
14_4_3,-11.66548519,15.48553532,1.022223875,0
